Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current u.s state of residence,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6434ba2af6ac00945e21c88a,641b3bf69165f1a520eac31b,APPROVED,2023-04-11T01:38:53.664000Z,2023-04-11T02:29:00.889000Z,2023-04-12T16:11:06.290000,2023-04-11T02:29:01.272720Z,3008,C12OLERP,47,Texas (TX),"Spanish, English",18,Male,Other,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking)
6434bbf8a1ff343f804de59a,6400f1783058946c2b4780cd,APPROVED,2023-04-11T01:48:33.110000Z,2023-04-11T02:29:17.747000Z,2023-04-12T16:11:06.461000,2023-04-11T02:29:18.106881Z,2445,C12OLERP,153,Texas (TX),"English, Spanish",40,Male,Mixed,Ecuador,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6434c26671200e55322ab2bc,60fe1b448581d67f52740713,APPROVED,2023-04-11T02:14:02.039000Z,2023-04-11T03:05:43.232000Z,2023-04-12T16:11:06.626000,2023-04-11T03:05:43.640392Z,3102,C12OLERP,169,North Carolina (NC),English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6434c7ce396a55144f62bd6a,63f173a98bc1a5e9c1f009b9,APPROVED,2023-04-11T02:37:07.739000Z,2023-04-11T03:15:22.692000Z,2023-04-12T16:11:06.797000,2023-04-11T03:15:23.016626Z,2295,C12OLERP,192,Washington (WA),English,34,Male,Asian,United States,United States,United States,English,No,Part-Time
6434c7edbb2df78d479b4549,63d801854282422363c75788,APPROVED,2023-04-11T02:37:36.780000Z,2023-04-11T04:32:08.978000Z,2023-04-12T16:11:07.334000,2023-04-11T04:32:09.350846Z,6873,C12OLERP,595,Washington (WA),English,35,Male,White,United States,United States,United States,English,No,Full-Time
6434d18298d502b8b27882f6,55d7844969dbc30012b67f69,APPROVED,2023-04-11T03:18:29.844000Z,2023-04-11T03:51:57.779000Z,2023-04-12T16:11:07.495000,2023-04-11T03:51:58.151996Z,2008,C12OLERP,3582,Kentucky (KY),English,57,Male,White,United States,United States,United States,English,No,Full-Time
6434d9a8e5d71c868fbfa5d0,61094e6cb882097f8addfd0f,APPROVED,2023-04-11T03:53:15.841000Z,2023-04-11T04:17:12.840000Z,2023-04-12T16:11:07.662000,2023-04-11T04:17:13.189522Z,1437,C12OLERP,476,Indiana (IN),English,38,Female,White,United States,United States,United States,English,No,Full-Time
6434ddcc38e55f56d3a582f3,60ff3f6ba91666407908d793,APPROVED,2023-04-11T04:12:20.666000Z,2023-04-11T05:10:08.162000Z,2023-04-12T16:11:07.811000,2023-04-11T05:10:08.560106Z,3468,C12OLERP,97,Texas (TX),English,25,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Due to start a new job within the next month
6434e2606249b1dac12ab2e1,6412796e7e970dbd78e2b491,APPROVED,2023-04-11T04:30:26.549000Z,2023-04-11T05:15:26.981000Z,2023-04-12T16:11:07.962000,2023-04-11T05:15:27.321984Z,2701,C12OLERP,237,Iowa (IA),English,49,Male,Black,United States,United States,United States,English,Yes,Full-Time
6434eed1be48b1d7045b4c8c,5e4b1627e778a8030266480c,APPROVED,2023-04-11T05:23:41.297000Z,2023-04-11T06:31:21.963000Z,2023-04-12T16:11:08.110000,2023-04-11T06:31:22.331538Z,4061,C12OLERP,1127,Texas (TX),English,46,Male,White,United States,United States,United States,English,No,Full-Time
