"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"636578c6aa1228f8b15ee701",TRUE,FALSE,84,639,"TIMEDOUT"
"5ed953ff9a8d504d5c451db0",TRUE,FALSE,49,33737,"TIMEDOUT"
"5cc9e61b7f76370017cfd5c7",TRUE,FALSE,64,825,"TIMEDOUT"
"600150a39d652729f84daf83",TRUE,FALSE,84,13351,"TIMEDOUT"
"5eb1698b8fb92e076da5a698",TRUE,FALSE,92,1916,"TIMEDOUT"
"628d114b1acd87ea1b37874e",TRUE,FALSE,14,608,"TIMEDOUT"
"5da34f2837c5e20015a1254c",TRUE,FALSE,39,3429,"TIMEDOUT"
"566a1d697da0350005b39de3",TRUE,FALSE,84,1668,"TIMEDOUT"
"59b1c1462a78fd00010b83c4",TRUE,FALSE,84,648,"TIMEDOUT"
"60e68d7dc0d998d1c7842a65",TRUE,FALSE,64,1939,"TIMEDOUT"
"582c83a0bbb67e0001e49ec1",TRUE,FALSE,64,689,"TIMEDOUT"
"5fb32e5b87f38fa6d189636a",TRUE,FALSE,87,2562,"TIMEDOUT"
"5ddaa1e583e309a04100bd57",TRUE,FALSE,64,4044,"TIMEDOUT"
"55aeacebfdf99b5dac7fa5bb",TRUE,FALSE,64,822,"TIMEDOUT"
"610ae48f1f1dc3addef298b8",TRUE,FALSE,26,205,"TIMEDOUT"
"5c93325695153900102e948b",TRUE,FALSE,92,3811,"TIMEDOUT"
"5dc6917d2865554b3c64ffe3",TRUE,FALSE,92,2692,"TIMEDOUT"
"637e86cb29243d7880acd64d",TRUE,FALSE,85,1294,"TIMEDOUT"
"61115cf2e80dfe714a87deda",TRUE,FALSE,26,326,"TIMEDOUT"
"5aaf4b0ce1546900019b01de",TRUE,FALSE,64,1371,"TIMEDOUT"
"60ff2f1eeab3a0334dee26d8",TRUE,FALSE,64,848,"TIMEDOUT"
"5bf53836ec7b5f000159f4b3",TRUE,FALSE,87,1131,"TIMEDOUT"
"5b6f49b7d60bdd0001ade437",TRUE,FALSE,56,347,"TIMEDOUT"
"5e69d0627b06f2033bb0fda7",TRUE,FALSE,89,2585,"TIMEDOUT"
"5dd4074feab0423daf012f92",TRUE,FALSE,85,631,"TIMEDOUT"
"5a6fdd4f82968f0001a6a4cd",TRUE,FALSE,26,404,"TIMEDOUT"
"5e9310d77d6dc1000baa5ee7",TRUE,FALSE,56,1107,"TIMEDOUT"
"5f8f37d50f2fc91627f1df59",TRUE,FALSE,39,223,"TIMEDOUT"
"62989737409d018c733483c1",TRUE,FALSE,84,729,"TIMEDOUT"
"5b182365316c630001abff4f",TRUE,FALSE,64,592,"TIMEDOUT"
"61539b3fa541b182c0fadde1",TRUE,FALSE,64,675,"TIMEDOUT"
"559cb12dfdf99b4989fb18ed",TRUE,FALSE,64,345,"TIMEDOUT"
"632020de7bc957687a0db66c",TRUE,FALSE,26,1255,"TIMEDOUT"
"5bf08e67d63d690001360a79",TRUE,FALSE,64,462,"TIMEDOUT"
"6361485f35ad17dc5e451202",TRUE,FALSE,87,828,"TIMEDOUT"
"614e30c8b7b5e1c169c89699",TRUE,FALSE,64,799,"TIMEDOUT"
"614fa2d8176b0317b451cd0f",TRUE,FALSE,84,546,"TIMEDOUT"
"5f56a9ac0b905311428399ea",TRUE,FALSE,92,3389,"TIMEDOUT"
"61239a2dfade59a247586dcf",TRUE,FALSE,64,1013,"TIMEDOUT"
"61115c76a6032b5860f19bc5",TRUE,FALSE,64,420,"TIMEDOUT"
"60f39f67a5c2c9e50ce470ee",TRUE,FALSE,64,601,"TIMEDOUT"
"5c1bf2d025bab90001f233fd",TRUE,FALSE,14,89,"TIMEDOUT"
"6107fa726514f5f5a3491556",TRUE,FALSE,64,556,"TIMEDOUT"
"5f4941b3030fef46cc14ec2b",TRUE,FALSE,26,607,"TIMEDOUT"
"602d78afe7fec07c388577b6",TRUE,FALSE,84,963,"TIMEDOUT"
"6328ddce9adceb215c2334ee",TRUE,FALSE,84,2751,"TIMEDOUT"
"5d43f181e2051e0001a24ba7",TRUE,FALSE,64,1761,"TIMEDOUT"
"6297d37d1444384207523262",TRUE,FALSE,26,1173,"TIMEDOUT"
"623025ddebb3231b32d9126f",TRUE,FALSE,85,2832,"TIMEDOUT"
"5fc1e71eff237c1f8708ef5a",TRUE,FALSE,14,660,"TIMEDOUT"
"60b8e0ed0524f574caac62ce",TRUE,FALSE,56,544,"TIMEDOUT"
"614e7ef6e98951c5af6fd9f7",TRUE,FALSE,64,569,"TIMEDOUT"
"5ee09c1a0c2ad1027f541f53",TRUE,FALSE,64,622,"TIMEDOUT"
"633fadee5fc02d5c5e7c8eec",TRUE,FALSE,85,2073,"TIMEDOUT"
"5e57fdd4ba0130000c520c46",TRUE,FALSE,26,4564,"TIMEDOUT"
