"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"reviewed_at_prolific","reviewed","at_prolific","character","prolific_metadata","Reviewed.at_prolific"
"archived_at_prolific","archived","at_prolific","character","prolific_metadata","Archived.at_prolific"
"time_taken_prolific","time","taken_prolific","integer","prolific_metadata","Time.taken_prolific"
"completion_code_prolific","completion","code_prolific","character","prolific_metadata","Completion.code_prolific"
"total_approvals_prolific","total","approvals_prolific","integer","prolific_metadata","Total.approvals_prolific"
"fluent_languages_prolific","fluent","languages_prolific","factor","prolific_demo","Fluent.languages_prolific"
"age_prolific","age","prolific","integer","prolific_demo","Age_prolific"
"sex_prolific","sex","prolific","factor","prolific_demo","Sex_prolific"
"ethnicity_simplified_prolific","ethnicity","simplified_prolific","factor","prolific_demo","Ethnicity.simplified_prolific"
"country_of_birth_prolific","country","of_birth_prolific","factor","prolific_demo","Country.of.birth_prolific"
"country_of_residence_prolific","country","of_residence_prolific","factor","prolific_demo","Country.of.residence_prolific"
"nationality_prolific","nationality","prolific","factor","prolific_demo","Nationality_prolific"
"language_prolific","language","prolific","factor","prolific_demo","Language_prolific"
"student_status_prolific","student","status_prolific","factor","prolific_demo","Student.status_prolific"
"employment_status_prolific","employment","status_prolific","factor","prolific_demo","Employment.status_prolific"
"flag_dupe_survey","flag","dupe_survey","logical","data_screen_flags","flag_dupe_survey"
"flag_most_complete_survey","flag","most_complete_survey","factor","data_screen_flags","flag_most_complete_survey"
"flag_failed_recording_test","flag","failed_recording_test","logical","data_screen_flags","flag_failed_recording_test"
"flag_failed_attention","flag","failed_attention","logical","data_screen_flags","flag_failed_attention"
"flag_failed_attention_n","flag","failed_attention_n","integer","data_screen_flags","flag_failed_attention_n"
"flag_no_survey","flag","no_survey","logical","data_screen_flags","flag_no_survey"
"max_identical","max","identical","integer","data_screen_flags","max_identical"
"max_identical_perc","max","identical_perc","integer","data_screen_flags","max_identical_perc"
"flag_rec_include","flag","rec_include","logical","data_screen_flags","flag_rec_include"
"resource_help_combine","resource","help_combine","factor","coalesced responses","resource_help_combine"
"content_help_combine","content","help_combine","factor","coalesced responses","content_help_combine"
"languishing_combine","languishing","combine","factor","coalesced responses","languishing_combine"
"document_tools_combine","document","tools_combine","factor","coalesced responses","document_tools_combine"
"document_benefits_combine","document","benefits_combine","factor","coalesced responses","document_benefits_combine"
"demo_race_combine","demo","race_combine","factor","demo","demo_race_combine"
"demo_ethnicity","demo","ethnicity","factor","demo","demo_ethnicity"
"swls_tot","swls","tot","integer","scale","SWLS_tot"
"swls_tot_f","swls","tot_f","factor","scale","SWLS_tot_f"
"perma_pos","perma","pos","numeric","subscale","PERMA_pos"
"perma_neg","perma","neg","numeric","subscale","PERMA_neg"
"pwb_04_r","pwb","04_r","integer","reverse_scored_item","PWB_4_R"
"pwb_05_r","pwb","05_r","integer","reverse_scored_item","PWB_5_R"
"pwb_06_r","pwb","06_r","integer","reverse_scored_item","PWB_6_R"
"pwb_07_r","pwb","07_r","integer","reverse_scored_item","PWB_7_R"
"pwb_10_r","pwb","10_r","integer","reverse_scored_item","PWB_10_R"
"pwb_14_r","pwb","14_r","integer","reverse_scored_item","PWB_14_R"
"pwb_15_r","pwb","15_r","integer","reverse_scored_item","PWB_15_R"
"pwb_16_r","pwb","16_r","integer","reverse_scored_item","PWB_16_R"
"pwb_autonomy_tot","pwb","autonomy_tot","integer","subscale","PWB_Autonomy_tot"
"pwb_envmas_tot","pwb","envmas_tot","integer","subscale","PWB_EnvMas_tot"
"pwb_growth_tot","pwb","growth_tot","integer","subscale","PWB_Growth_tot"
"pwb_posrelations_tot","pwb","posrelations_tot","integer","subscale","PWB_PosRelations_tot"
"pwb_purpose_tot","pwb","purpose_tot","integer","subscale","PWB_Purpose_tot"
"pwb_selfaccept_tot","pwb","selfaccept_tot","integer","subscale","PWB_SelfAccept_tot"
"sris12_2_r","sris12","2_r","integer","reverse_scored_item","SRIS12_2_R"
"sris12_3_r","sris12","3_r","integer","reverse_scored_item","SRIS12_3_R"
"sris12_7_r","sris12","7_r","integer","reverse_scored_item","SRIS12_7_R"
"sris12_8_r","sris12","8_r","integer","reverse_scored_item","SRIS12_8_R"
"sris12_9_r","sris12","9_r","integer","reverse_scored_item","SRIS12_9_R"
"sris_reflection_tot","sris","reflection_tot","integer","subscale","SRIS_reflection_tot"
"sris_insight_tot","sris","insight_tot","integer","subscale","SRIS_insight_tot"
"aniq_awareness_tot","aniq","awareness_tot","integer","subscale","ANIQ_awareness_tot"
"aniq_temp_coherence_tot","aniq","temp_coherence_tot","integer","subscale","ANIQ_temp_coherence_tot"
"aniq_causal_coherence_tot","aniq","causal_coherence_tot","integer","subscale","ANIQ_causal_coherence_tot"
"aniq_thematic_coherence_tot","aniq","thematic_coherence_tot","integer","subscale","ANIQ_thematic_coherence_tot"
"aniq_tot","aniq","tot","integer","scale","ANIQ_tot"
