"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"ab_33_12","ab","33_12","factor","assets_barriers_raw","AB33_12"
"ab_33_13","ab","33_13","factor","assets_barriers_raw","AB33_13"
"ab_33_14","ab","33_14","factor","assets_barriers_raw","AB33_14"
"ab_33_15","ab","33_15","factor","assets_barriers_raw","AB33_15"
"ab_33_16","ab","33_16","factor","assets_barriers_raw","AB33_16"
"ab_33_17","ab","33_17","factor","assets_barriers_raw","AB33_17"
"ab_33_18","ab","33_18","factor","assets_barriers_raw","AB33_18"
"ab_33_19","ab","33_19","factor","assets_barriers_raw","AB33_19"
"ab_33_20","ab","33_20","factor","assets_barriers_raw","AB33_20"
"ab_33_21","ab","33_21","factor","assets_barriers_raw","AB33_21"
"ab_33_22","ab","33_22","factor","assets_barriers_raw","AB33_22"
"ab_04_01","ab","04_01","factor","assets_barriers_raw","AB_4_1"
"ab_04_02","ab","04_02","factor","assets_barriers_raw","AB_4_2"
"ab_04_03","ab","04_03","factor","assets_barriers_raw","AB_4_3"
"ab_04_04","ab","04_04","factor","assets_barriers_raw","AB_4_4"
"ab_04_05","ab","04_05","factor","assets_barriers_raw","AB_4_5"
"ab_04_06","ab","04_06","factor","assets_barriers_raw","AB_4_6"
"ab_04_07","ab","04_07","factor","assets_barriers_raw","AB_4_7"
"ab_04_08","ab","04_08","factor","assets_barriers_raw","AB_4_8"
"ab_04_09","ab","04_09","factor","assets_barriers_raw","AB_4_9"
"ab_04_09_text","ab","04_09_text","character","assets_barriers_raw","AB_4_9_TEXT"
"ab_05_01","ab","05_01","factor","assets_barriers_raw","AB_5_1"
"ab_05_02","ab","05_02","factor","assets_barriers_raw","AB_5_2"
"ab_05_03","ab","05_03","factor","assets_barriers_raw","AB_5_3"
"ab_05_04","ab","05_04","factor","assets_barriers_raw","AB_5_4"
"ab_05_05","ab","05_05","factor","assets_barriers_raw","AB_5_5"
"ab_05_06","ab","05_06","factor","assets_barriers_raw","AB_5_6"
"ab_05_07","ab","05_07","factor","assets_barriers_raw","AB_5_7"
"ab_05_08","ab","05_08","factor","assets_barriers_raw","AB_5_8"
"ab_05_09","ab","05_09","factor","assets_barriers_raw","AB_5_9"
"ab_05_09_text","ab","05_09_text","character","assets_barriers_raw","AB_5_9_TEXT"
"ab_06_01","ab","06_01","factor","assets_barriers_raw","AB_6_1"
"ab_06_02","ab","06_02","factor","assets_barriers_raw","AB_6_2"
"ab_06_03","ab","06_03","factor","assets_barriers_raw","AB_6_3"
"ab_06_04","ab","06_04","factor","assets_barriers_raw","AB_6_4"
"ab_06_05","ab","06_05","factor","assets_barriers_raw","AB_6_5"
"ab_06_06","ab","06_06","factor","assets_barriers_raw","AB_6_6"
"ab_06_07","ab","06_07","factor","assets_barriers_raw","AB_6_7"
"ab_06_08","ab","06_08","factor","assets_barriers_raw","AB_6_8"
"ab_06_09","ab","06_09","factor","assets_barriers_raw","AB_6_9"
"ab_06_10","ab","06_10","factor","assets_barriers_raw","AB_6_10"
"ab_07_01","ab","07_01","factor","assets_barriers_raw","AB_7_1"
"ab_07_02","ab","07_02","factor","assets_barriers_raw","AB_7_2"
"ab_07_03","ab","07_03","factor","assets_barriers_raw","AB_7_3"
"ab_07_04","ab","07_04","factor","assets_barriers_raw","AB_7_4"
"ab_07_05","ab","07_05","factor","assets_barriers_raw","AB_7_5"
