Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63a3b0e61c1a7d5f5f593f14,610858d216ad5a7a479e3f7c,APPROVED,2022-12-22T01:20:45.011000Z,2022-12-22T01:40:09.525000Z,2022-12-22T05:48:40.259000,2022-12-22T01:40:09.895794Z,1165,CEIIGKEB,1374,English,23,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
63a3b186253cd431931b6004,5fb2041681fe9376804e1249,APPROVED,2022-12-22T01:23:25.250000Z,2022-12-22T02:10:12.780000Z,2022-12-22T05:48:40.354000,2022-12-22T02:10:13.111540Z,2808,CEIIGKEB,3191,English,40,Female,Asian,United States,United States,United States,English,No,Full-Time
63a3b1bf83e93485714d09c8,62962c18b210880e85c1fc8e,APPROVED,2022-12-22T01:24:43.989000Z,2022-12-22T02:22:31.551000Z,2022-12-22T05:48:40.450000,2022-12-22T02:22:31.941993Z,3468,CEIIGKEB,669,English,29,Male,White,United States,United States,United States,English,No,Full-Time
63a3b1e8e4f6e1732092ab23,59ee22ec5de9b000017ed797,APPROVED,2022-12-22T01:24:58.698000Z,2022-12-22T01:46:16.391000Z,2022-12-22T05:48:40.550000,2022-12-22T01:46:16.750635Z,1278,CEIIGKEB,1567,English,28,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3b22ee9c5f62d3860409e,627161ec9a2c16ab6496e364,APPROVED,2022-12-22T01:26:11.485000Z,2022-12-22T02:05:11.217000Z,2022-12-22T05:48:40.653000,2022-12-22T02:05:11.589143Z,2340,CEIIGKEB,307,English,22,Male,White,United States,United States,United States,English,No,Full-Time
63a3b27afd55fa4a9200e7b8,6121aaee9d29f0c6e3bc8bea,APPROVED,2022-12-22T01:28:02.437000Z,2022-12-22T02:20:05.188000Z,2022-12-22T05:48:40.751000,2022-12-22T02:20:05.632788Z,3123,CEIIGKEB,466,English,52,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3b2a86101efefc6b8573c,5c4cfbeb749e280001c45b75,APPROVED,2022-12-22T01:28:11.569000Z,2022-12-22T01:52:39.740000Z,2022-12-22T05:48:40.843000,2022-12-22T01:52:40.159461Z,1469,CEIIGKEB,176,English,22,Female,Black,United States,United States,United States,English,Yes,Part-Time
63a3b2c0ef8bc5ee917bfb6d,62b601e089d3d1134aed066b,APPROVED,2022-12-22T01:28:36.600000Z,2022-12-22T01:50:19.233000Z,2022-12-22T05:48:40.938000,2022-12-22T01:50:19.619816Z,1303,CEIIGKEB,785,English,70,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63a3b2ca7724a8f3d0bcc530,5d5b67ab9ad5a300181398dc,APPROVED,2022-12-22T01:28:46.317000Z,2022-12-22T02:16:50.653000Z,2022-12-22T05:48:41.033000,2022-12-22T02:16:51.119412Z,2885,CEIIGKEB,309,English,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63a3b3f5b9d802747b3130d3,5bdf5d0d14b3cd00019d99a3,APPROVED,2022-12-22T01:33:43.803000Z,2022-12-22T02:22:24.876000Z,2022-12-22T05:48:41.132000,2022-12-22T02:22:25.257149Z,2922,CEIIGKEB,102,English,24,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
63a3b469f6959fac07b53294,5c4933b77379d8000112f57b,APPROVED,2022-12-22T01:38:33.065000Z,2022-12-22T01:56:21.224000Z,2022-12-30T19:24:14.823000,2022-12-22T01:56:21.588119Z,1069,CEIIGKEB,679,English,48,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
63a3b46e555430bc3b0b8d31,638a68c4edb047506ee14c57,APPROVED,2022-12-22T01:35:48.460000Z,2022-12-22T02:04:23.981000Z,2022-12-22T05:48:41.236000,2022-12-22T02:04:24.365654Z,1716,CEIIGKEB,6,English,59,Male,White,Sierra Leone,United States,United States,English,No,Full-Time
63a3b489b1081b6f3539f656,5f14b46fefc95253caca20b4,APPROVED,2022-12-22T01:36:14.123000Z,2022-12-22T02:13:50.881000Z,2022-12-22T05:48:41.335000,2022-12-22T02:13:51.246155Z,2257,CEIIGKEB,3598,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
63a3b4962251133b901b6029,5d562050b125380015b55388,APPROVED,2022-12-22T01:36:25.466000Z,2022-12-22T02:03:41.081000Z,2022-12-22T05:48:41.432000,2022-12-22T02:03:41.390970Z,1636,CEIIGKEB,225,English,44,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3b4bb0096467194b598be,62f716849a6ee6e7e2f5a948,APPROVED,2022-12-22T01:37:02.390000Z,2022-12-22T02:00:05.219000Z,2022-12-22T05:48:41.530000,2022-12-22T02:00:05.614015Z,1383,CEIIGKEB,597,English,34,Male,White,United States,United States,United States,English,No,Full-Time
63a3b581b7c76ac285e593d8,62729485c0955ee802ac1692,APPROVED,2022-12-22T01:40:20.566000Z,2022-12-22T02:00:13.937000Z,2022-12-22T05:48:41.625000,2022-12-22T02:00:14.286423Z,1194,CEIIGKEB,1100,English,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
63a3b5f8b2cb701c76e73be5,60b159e0b41ad83b9805d23a,APPROVED,2022-12-22T01:42:20.011000Z,2022-12-22T02:12:56.991000Z,2022-12-22T05:48:41.721000,2022-12-22T02:12:57.393301Z,1837,CEIIGKEB,635,English,42,Female,White,United States,United States,United States,English,No,Full-Time
63a3b668f2cea71ed74d09c1,62e0314e341f3717a3c2e1f5,APPROVED,2022-12-22T01:44:12.827000Z,2022-12-22T02:16:05.842000Z,2022-12-22T05:48:41.814000,2022-12-22T02:16:06.229833Z,1914,CEIIGKEB,148,English,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63a3b727635eda0ca128a45a,5d84e353a954540015f51437,APPROVED,2022-12-22T01:47:53.545000Z,2022-12-22T02:22:58.551000Z,2022-12-22T05:48:41.909000,2022-12-22T02:22:58.939984Z,2106,CEIIGKEB,1404,English,58,Female,White,United States,United States,United States,English,No,Part-Time
63a3b74ff6f90d3902b5989e,5bddd64b48428800013061a6,APPROVED,2022-12-22T01:48:06.113000Z,2022-12-22T02:42:57.103000Z,2022-12-22T05:48:42.005000,2022-12-22T02:42:57.479994Z,3291,CEIIGKEB,3014,English,41,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3b80bae82d275037bfb42,601e13b872774f263d64acac,APPROVED,2022-12-22T01:51:16.203000Z,2022-12-22T02:13:59.973000Z,2022-12-22T05:48:42.101000,2022-12-22T02:14:00.385771Z,1364,CEIIGKEB,2165,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63a3b886c65b07ef9cde327d,5fbe0983bb675f29dde28b82,APPROVED,2022-12-22T01:53:20.704000Z,2022-12-22T02:46:13.186000Z,2022-12-22T05:48:42.197000,2022-12-22T02:46:13.713439Z,3173,CEIIGKEB,2122,English,60,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63a3b8f111fa5a6db897c235,5ee5f7f771f86b333ba269de,APPROVED,2022-12-22T01:55:09.546000Z,2022-12-22T02:14:38.048000Z,2022-12-22T05:48:42.312000,2022-12-22T02:14:38.466346Z,1169,CEIIGKEB,2092,English,26,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63a3b92d513d5bfcefb8574c,6100fd9153a73727cf2edda8,RETURNED,2022-12-22T01:56:01.907000Z,2022-12-22T01:57:03.513000Z,,2022-12-22T01:57:03.975000Z,,CEIIGKEB,824,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63a3b93ea351ec15279caef9,61074792728f0f9e791ad083,APPROVED,2022-12-22T01:56:18.631000Z,2022-12-22T02:20:08.297000Z,2022-12-22T05:48:42.406000,2022-12-22T02:20:08.624223Z,1430,CEIIGKEB,357,English,35,Male,White,United States,United States,United States,English,No,Full-Time
