userid,flag_nomatch_survey,flag_no_survey,Progress,Duration__in_seconds_,Status_prolific,,anne_check
5a6fdd4f82968f0001a6a4cd,TRUE,FALSE,26,404,TIMEDOUT,,RETURNED
5fea4e9eb11116a165b0834a,TRUE,FALSE,26,402,TIMEDOUT,,RETURNED
61415e4e227ff90384f081c6,TRUE,FALSE,64,400,TIMEDOUT,,RETURNED
576ad50bc8a90000010d99c8,TRUE,FALSE,64,392,TIMEDOUT,,RETURNED
615d051e2366aeb051acb734,TRUE,FALSE,25,376,TIMEDOUT,,RETURNED
6049c8d693e03ff3e193d762,TRUE,FALSE,64,376,TIMEDOUT,,RETURNED
5e287f8ebdfcaf050e34fd94,TRUE,FALSE,26,368,TIMEDOUT,,RETURNED
61313fad6454dab291dc1256,TRUE,FALSE,14,365,TIMEDOUT,,RETURNED
5ff6332966382e1bf16ed6b6,TRUE,FALSE,64,355,TIMEDOUT,,RETURNED
55ea8b027480920010aa99f0,TRUE,FALSE,64,354,TIMEDOUT,,RETURNED
5db598f48cf15c000b57eb36,TRUE,FALSE,64,354,TIMEDOUT,,RETURNED
5f42167916548e3e557a1e6a,TRUE,FALSE,14,353,TIMEDOUT,,RETURNED
62964d27c2b2866faa677493,TRUE,FALSE,64,351,TIMEDOUT,,RETURNED
634740193026d2b89955a51a,TRUE,FALSE,64,350,TIMEDOUT,,RETURNED
5b6f49b7d60bdd0001ade437,TRUE,FALSE,56,347,TIMEDOUT,,RETURNED
5dcf7b49523df00ae9c4e07e,TRUE,FALSE,84,346,TIMEDOUT,,RETURNED
559cb12dfdf99b4989fb18ed,TRUE,FALSE,64,345,TIMEDOUT,,RETURNED
6044dfc230e44b5793804ba6,TRUE,FALSE,64,331,TIMEDOUT,,RETURNED
60fdee22273f69b19ee4b8fb,TRUE,FALSE,26,305,TIMEDOUT,,RETURNED
5fc6f76b2bc0cf01708d907d,TRUE,FALSE,64,300,TIMEDOUT,,RETURNED
5b32599cc8e94a00018f22a5,TRUE,FALSE,64,292,TIMEDOUT,,RETURNED
616f4c9a8b227a8e2c8506a8,TRUE,FALSE,64,280,TIMEDOUT,,RETURNED
5c131f9bd47b00000149e425,TRUE,FALSE,64,271,TIMEDOUT,,RETURNED
636159dccb8ebae6099ab520,TRUE,FALSE,64,268,TIMEDOUT,,RETURNED
63686d18c3ed2b47b0bc5d21,TRUE,FALSE,26,252,TIMEDOUT,,RETURNED
61118b59c27e0581f7112c3d,TRUE,FALSE,26,246,TIMEDOUT,,RETURNED
6155e95c0808b015514b34e0,TRUE,FALSE,26,240,TIMEDOUT,,RETURNED
5f8f37d50f2fc91627f1df59,TRUE,FALSE,39,223,TIMEDOUT,,RETURNED
610ae48f1f1dc3addef298b8,TRUE,FALSE,26,205,TIMEDOUT,,RETURNED
5c239f96da51990001e21d97,TRUE,FALSE,13,202,TIMEDOUT,,RETURNED
5d29cc8869a747001acdb3c1,TRUE,FALSE,26,197,TIMEDOUT,,RETURNED
5d537c0cecc84200153075e9,TRUE,FALSE,26,187,TIMEDOUT,,RETURNED
62a885d5b6af18b3d4579e1b,TRUE,FALSE,64,160,TIMEDOUT,,RETURNED
60dfdb8bbef17b6739d12215,TRUE,FALSE,26,151,TIMEDOUT,,RETURNED
61fa947a5719bc09cb834f5b,TRUE,FALSE,14,140,TIMEDOUT,,RETURNED
60f0ae9c7798b3360564605a,TRUE,FALSE,26,139,TIMEDOUT,,RETURNED
57334d427d01ed00098e8e69,TRUE,FALSE,26,138,TIMEDOUT,,RETURNED
5dbf692c2a1dd63f64ef5ae4,TRUE,FALSE,12,125,TIMEDOUT,,RETURNED
5faead22421a230a0a7c2e8d,TRUE,FALSE,14,350738,TIMEDOUT,,TIMEDOUT
5ed953ff9a8d504d5c451db0,TRUE,FALSE,49,33737,TIMEDOUT,,TIMEDOUT
5ad1dee393f87d00016ce40f,TRUE,FALSE,89,27666,TIMEDOUT,,TIMEDOUT
600150a39d652729f84daf83,TRUE,FALSE,84,13351,TIMEDOUT,,TIMEDOUT
5ee8f9a309471c0d46a6d247,TRUE,FALSE,64,9254,TIMEDOUT,,TIMEDOUT
637d58b9dd14dc68ba68920a,TRUE,FALSE,39,7376,TIMEDOUT,,TIMEDOUT
615bb35e52d50aa9a2ae6747,TRUE,FALSE,91,5868,TIMEDOUT,,TIMEDOUT
5e57fdd4ba0130000c520c46,TRUE,FALSE,26,4564,TIMEDOUT,,TIMEDOUT
5fc1ffc15478a5319b85ecd2,TRUE,FALSE,64,3898,TIMEDOUT,,TIMEDOUT
62728d9afbb36631896f3bcb,TRUE,FALSE,84,3851,TIMEDOUT,,TIMEDOUT
5da34f2837c5e20015a1254c,TRUE,FALSE,39,3429,TIMEDOUT,,TIMEDOUT
5f56a9ac0b905311428399ea,TRUE,FALSE,92,3389,TIMEDOUT,,TIMEDOUT
612dadc02ff79efdae19c7f6,TRUE,FALSE,13,2952,TIMEDOUT,,TIMEDOUT
623025ddebb3231b32d9126f,TRUE,FALSE,85,2832,TIMEDOUT,,TIMEDOUT
5d67096e6c4d1700163102e5,TRUE,FALSE,84,2550,TIMEDOUT,,TIMEDOUT
6005a06aff6a528027303ba9,TRUE,FALSE,56,2335,TIMEDOUT,,TIMEDOUT
5eb1698b8fb92e076da5a698,TRUE,FALSE,92,1916,TIMEDOUT,,TIMEDOUT
5ee142b292607215593aa9af,TRUE,FALSE,64,1726,TIMEDOUT,,TIMEDOUT
5f5a544860d7fa0e8b9b4978,TRUE,FALSE,64,1603,TIMEDOUT,,TIMEDOUT
5e0d256753e8464d64940925,TRUE,FALSE,84,1505,TIMEDOUT,,TIMEDOUT
614af89a94339a92bf646754,TRUE,FALSE,64,1404,TIMEDOUT,,TIMEDOUT
6147d9a1448517d2f2f01250,TRUE,FALSE,84,1397,TIMEDOUT,,TIMEDOUT
632020de7bc957687a0db66c,TRUE,FALSE,26,1255,TIMEDOUT,,TIMEDOUT
62eab49b3494af2a6cb7348d,TRUE,FALSE,84,1168,TIMEDOUT,,TIMEDOUT
5e9310d77d6dc1000baa5ee7,TRUE,FALSE,56,1107,TIMEDOUT,,TIMEDOUT
609f9dc860caabc631c56e9c,TRUE,FALSE,87,1051,TIMEDOUT,,TIMEDOUT
61239a2dfade59a247586dcf,TRUE,FALSE,64,1013,TIMEDOUT,,TIMEDOUT
60baa2667ff218389ffd3da5,TRUE,FALSE,64,990,TIMEDOUT,,TIMEDOUT
6269b364ed457e6d3558be82,TRUE,FALSE,89,986,TIMEDOUT,,TIMEDOUT
602d78afe7fec07c388577b6,TRUE,FALSE,84,963,TIMEDOUT,,TIMEDOUT
5e8f947688dac428c6b35e29,TRUE,FALSE,84,840,TIMEDOUT,,TIMEDOUT
614e30c8b7b5e1c169c89699,TRUE,FALSE,64,799,TIMEDOUT,,TIMEDOUT
62fc63161f97c9cb8af24925,TRUE,FALSE,64,657,TIMEDOUT,,TIMEDOUT
5f4941b3030fef46cc14ec2b,TRUE,FALSE,26,607,TIMEDOUT,,TIMEDOUT
5f5a544860d7fa0e8b9b4978,TRUE,FALSE,64,583,TIMEDOUT,,TIMEDOUT
614de785b8b89e4aba599f03,TRUE,FALSE,26,539,TIMEDOUT,,TIMEDOUT
60f47fc03ca663a2425b8085,TRUE,FALSE,39,431,TIMEDOUT,,TIMEDOUT
61115c76a6032b5860f19bc5,TRUE,FALSE,64,420,TIMEDOUT,,TIMEDOUT
633a1952eb49d5caf1a9a176,TRUE,FALSE,56,382,TIMEDOUT,,TIMEDOUT
61115cf2e80dfe714a87deda,TRUE,FALSE,26,326,TIMEDOUT,,TIMEDOUT
637656f618065b68614915b0,TRUE,FALSE,26,311,TIMEDOUT,,TIMEDOUT
6298cc9622b9c0f184d25cb3,TRUE,FALSE,25,219,TIMEDOUT,,TIMEDOUT
63125407181f75ee3ef473a9,TRUE,FALSE,14,106,TIMEDOUT,,TIMEDOUT
5c1bf2d025bab90001f233fd,TRUE,FALSE,14,89,TIMEDOUT,,TIMEDOUT
